Taxon ID,Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,EPBC Act Migratory,Conservation Advice,Class,Order,Family,Genus,Taxon Group,ACT NC Act,Listed Name,NSW TSC Act and FM Act,Listed Name,NT TPWC Act,Listed Name,Qld NC Act,Listed Name,SA NPW Act,Listed Name,Tas. TSP Act,Listed Name,Vic. FFG Act (Advisory Lists),Listed Name,WA WC Act,Listed Name,IUCN Red List,IUCN Red List Listed Names,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos (Keeling) Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area
20514,Acacia beauverdiana, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia beauverdiana,,,,,,,,,,,,,,,,,
6703,Acacia betchei,Red-tip Wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia betchei,,,,,,,,,,,,,,,,,
65744,Acacia bifaria, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Endangered,Acacia bifaria,,,,,,,,,,,,,,,,,
2073,Acacia binervata,Two-veined Hickory,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia binervata,,,,,,,,,,,,,,,,,
2890,Acacia binervia,Coast Myall,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,Critically Endangered ,Acacia binervia,,,Least Concern,Acacia binervia,,,,,,,Present,,,,,,,,,,
13749,Acacia blakei, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia blakei,,,,,,,,,,,,,,,,,
11404,Acacia blakelyi, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia blakelyi,,,,,,,,,,,,,,,,,
56297,Acacia blayana,Blay's Wattle,Critically Endangered,Acacia blayana,15-Nov-23,,15-Nov-23,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
6370,Acacia boormanii,Snowy River Wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,Endangered,Acacia boormanii,,,,,,,,,,,,,,,,,,,,,
55594,Acacia brachypoda,Western Wheatbelt Wattle,Endangered,Acacia brachypoda,16-Jul-00,,26-Mar-08,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia brachypoda,Endangered,Acacia brachypoda,,,,,,,,Endemic,,,,,,,,,
